"Points:0","Points:1","Points:2","T","U:0","U:1","U:2","X_N2","X_N2O3","X_N2O4","X_N2O5","X_NO","X_NO2","X_NO3","X_O","X_O2","X_O3","vtkGhostType"
-0.090815,0.0030879,1.4901e-08,344.52,-1.1413,-0.079628,0.040392,0.78995,6.7468e-13,1.439e-08,1.2759e-05,1.0262e-07,0.000214,3.9979e-08,3.0196e-10,0.20966,0.00016419,0
-0.08981,0.0030879,1.4901e-08,344.52,-1.1089,-0.035026,0.10891,0.78995,6.7163e-13,1.4339e-08,1.28e-05,1.0234e-07,0.00021362,4.0177e-08,3.0357e-10,0.20966,0.00016504,0
-0.088806,0.0030879,1.4901e-08,344.52,-1.1002,0.07851,0.32749,0.78995,6.7038e-13,1.4218e-08,1.2843e-05,1.0258e-07,0.0002127,4.0568e-08,3.0822e-10,0.20966,0.00016751,0
-0.087801,0.0030879,1.4901e-08,344.51,-1.1646,0.18729,0.40413,0.78995,6.7603e-13,1.4169e-08,1.2828e-05,1.0362e-07,0.00021231,4.0672e-08,3.1056e-10,0.20966,0.00016876,0
-0.086796,0.0030879,1.4901e-08,344.51,-1.1683,0.19544,0.49218,0.78995,6.8804e-13,1.415e-08,1.2779e-05,1.0553e-07,0.00021216,4.0636e-08,3.1205e-10,0.20966,0.00016956,0
-0.085791,0.0030879,1.4901e-08,344.51,-1.175,0.24092,0.50488,0.78995,7.162e-13,1.4196e-08,1.2645e-05,1.0966e-07,0.0002125,4.0285e-08,3.119e-10,0.20966,0.00016951,0
-0.084787,0.0030879,1.4901e-08,344.51,-1.2161,0.28789,0.4147,0.78995,7.6027e-13,1.4288e-08,1.2457e-05,1.1602e-07,0.00021319,3.9722e-08,3.1049e-10,0.20966,0.00016879,0
-0.083782,0.0030879,1.4901e-08,344.51,-1.1885,0.28528,0.36069,0.78995,8.3204e-13,1.4421e-08,1.2233e-05,1.2635e-07,0.00021418,3.8991e-08,3.0786e-10,0.20966,0.00016742,0
-0.082777,0.0030879,1.4901e-08,344.51,-1.1382,0.2604,0.35893,0.78995,9.3214e-13,1.4571e-08,1.1996e-05,1.4082e-07,0.0002153,3.8189e-08,3.0465e-10,0.20966,0.00016575,0
-0.081773,0.0030879,1.4901e-08,344.52,-1.201,0.19905,0.34852,0.78995,1.1096e-12,1.4791e-08,1.1662e-05,1.6629e-07,0.00021693,3.705e-08,2.9983e-10,0.20966,0.00016323,0
-0.080768,0.0030879,1.4901e-08,344.52,-1.313,0.13082,0.38835,0.78995,1.3457e-12,1.5075e-08,1.1222e-05,1.9982e-07,0.00021902,3.5584e-08,2.9374e-10,0.20966,0.00016004,0
-0.079763,0.0030879,1.4901e-08,344.52,-1.4085,0.099636,0.45739,0.78995,1.6551e-12,1.5438e-08,1.066e-05,2.428e-07,0.00022166,3.3771e-08,2.8624e-10,0.20966,0.00015611,0
-0.078758,0.0030879,1.4901e-08,344.52,-1.4752,0.094708,0.39259,0.78995,1.987e-12,1.5833e-08,1.0051e-05,2.8792e-07,0.0002245,3.1855e-08,2.782e-10,0.20966,0.0001519,0
-0.077754,0.0030879,1.4901e-08,344.53,-1.4847,0.074375,0.2845,0.78995,2.2881e-12,1.6179e-08,9.5175e-06,3.2801e-07,0.00022695,3.0226e-08,2.7137e-10,0.20966,0.00014831,0
-0.076749,0.0030879,1.4901e-08,344.53,-1.451,0.10586,0.30304,0.78996,2.5593e-12,1.6476e-08,9.0516e-06,3.6362e-07,0.00022904,2.8846e-08,2.657e-10,0.20966,0.00014533,0
-0.075744,0.0030879,1.4901e-08,344.53,-1.3919,0.25834,0.34816,0.78996,2.8088e-12,1.6749e-08,8.6249e-06,3.9592e-07,0.00023095,2.7607e-08,2.6059e-10,0.20966,0.00014264,0
-0.074739,0.0030879,1.4901e-08,344.53,-1.3343,0.36715,0.28737,0.78996,3.002e-12,1.6962e-08,8.2977e-06,4.2054e-07,0.00023242,2.6666e-08,2.5659e-10,0.20966,0.00014053,0
-0.073735,0.0030879,1.4901e-08,344.53,-1.3099,0.28596,0.18353,0.78996,3.1216e-12,1.7085e-08,8.1083e-06,4.3576e-07,0.00023327,2.6127e-08,2.543e-10,0.20966,0.00013932,0
-0.07273,0.0030879,1.4901e-08,344.53,-1.3163,0.076944,0.15055,0.78996,3.1406e-12,1.7085e-08,8.0877e-06,4.384e-07,0.00023327,2.6094e-08,2.5457e-10,0.20966,0.00013947,0
-0.071725,0.0030879,1.4901e-08,344.53,-1.3018,-0.10242,0.18064,0.78996,3.1129e-12,1.7017e-08,8.1464e-06,4.3538e-07,0.0002328,2.6317e-08,2.5645e-10,0.20966,0.00014048,0
-0.07072,0.0030879,1.4901e-08,344.53,-1.2656,-0.16273,0.18392,0.78996,3.2386e-12,1.6981e-08,8.1598e-06,4.5343e-07,0.00023254,2.6381e-08,2.5764e-10,0.20966,0.00014112,0
-0.069716,0.0030879,1.4901e-08,344.53,-1.2688,-0.1619,0.156,0.78996,3.7082e-12,1.7045e-08,8.0408e-06,5.1818e-07,0.00023298,2.5986e-08,2.5652e-10,0.20966,0.00014053,0
-0.068711,0.0030879,1.4901e-08,344.53,-1.2814,-0.14252,0.16825,0.78996,4.664e-12,1.7225e-08,7.7665e-06,6.4811e-07,0.00023421,2.5066e-08,2.5283e-10,0.20966,0.00013858,0
-0.067706,0.0030879,1.4901e-08,344.53,-1.3377,-0.1218,0.13779,0.78996,6.1584e-12,1.752e-08,7.3337e-06,8.4821e-07,0.00023621,2.3642e-08,2.4664e-10,0.20966,0.0001353,0
-0.066701,0.0030879,1.4901e-08,344.53,-1.4179,-0.10026,0.012151,0.78996,7.78e-12,1.7819e-08,6.8784e-06,1.0623e-06,0.00023823,2.2212e-08,2.4064e-10,0.20966,0.00013212,0
-0.065697,0.0030879,1.4901e-08,344.53,-1.4841,-2.7941e-05,-0.031591,0.78996,9.3923e-12,1.8081e-08,6.455e-06,1.273e-06,0.00023998,2.0944e-08,2.3574e-10,0.20966,0.00012952,0
-0.064692,0.0030879,1.4901e-08,344.53,-1.5465,0.1471,0.10256,0.78996,1.0918e-11,1.8295e-08,6.0905e-06,1.4719e-06,0.0002414,1.9877e-08,2.3194e-10,0.20966,0.00012752,0
-0.063687,0.0030879,1.4901e-08,344.54,-1.6263,0.016473,0.29726,0.78996,1.2078e-11,1.8453e-08,5.8415e-06,1.6223e-06,0.00024245,1.9123e-08,2.2885e-10,0.20966,0.00012588,0
-0.062682,0.0030879,1.4901e-08,344.54,-1.666,-0.38831,0.51517,0.78996,1.2241e-11,1.8483e-08,5.8062e-06,1.6428e-06,0.00024264,1.901e-08,2.2817e-10,0.20966,0.00012551,0
-0.061678,0.0030879,1.4901e-08,344.54,-1.6741,-0.60433,0.65669,0.78996,1.2183e-11,1.8522e-08,5.7449e-06,1.6331e-06,0.0002429,1.8884e-08,2.2758e-10,0.20966,0.0001252,0
-0.060673,0.0030879,1.4901e-08,344.54,-1.6724,-0.65886,0.50161,0.78996,1.2521e-11,1.8683e-08,5.5052e-06,1.6712e-06,0.00024396,1.8285e-08,2.2473e-10,0.20966,0.00012368,0
-0.059668,0.0030879,1.4901e-08,344.54,-1.6856,-0.54071,0.11843,0.78997,1.2962e-11,1.893e-08,5.1572e-06,1.7189e-06,0.00024558,1.7411e-08,2.2017e-10,0.20966,0.00012125,0
-0.058664,0.0030879,1.4901e-08,344.54,-1.7229,-0.30175,-0.18285,0.78997,1.2866e-11,1.9091e-08,4.9179e-06,1.6993e-06,0.00024663,1.6877e-08,2.1757e-10,0.20966,0.00011986,0
-0.057659,0.0030879,1.4901e-08,344.54,-1.8225,-0.18314,-0.27434,0.78997,1.2011e-11,1.9047e-08,4.9515e-06,1.5881e-06,0.00024634,1.7092e-08,2.1912e-10,0.20966,0.0001207,0
-0.056654,0.0030879,1.4901e-08,344.54,-1.9149,-0.17076,-0.36836,0.78996,1.1152e-11,1.8916e-08,5.0831e-06,1.4796e-06,0.00024548,1.7567e-08,2.2253e-10,0.20966,0.00012253,0
-0.055649,0.0030879,1.4901e-08,344.54,-1.8448,-0.38891,-0.33931,0.78996,1.0557e-11,1.8764e-08,5.225e-06,1.4064e-06,0.00024448,1.8062e-08,2.2649e-10,0.20966,0.00012467,0
-0.054645,0.0030879,1.4901e-08,344.53,-1.6096,-0.73549,-0.13826,0.78996,1.0153e-11,1.8633e-08,5.3266e-06,1.3573e-06,0.00024361,1.8453e-08,2.3016e-10,0.20966,0.00012664,0
-0.05364,0.0030879,1.4901e-08,344.53,-1.3932,-0.61428,-0.090925,0.78996,9.6602e-12,1.8584e-08,5.3549e-06,1.2931e-06,0.00024328,1.8637e-08,2.3185e-10,0.20966,0.00012756,0
-0.052635,0.0030879,1.4901e-08,344.53,-1.3735,-0.041663,-0.2607,0.78996,8.8571e-12,1.8568e-08,5.3835e-06,1.1861e-06,0.00024317,1.8814e-08,2.3244e-10,0.20966,0.00012787,0
-0.05163,0.0030879,1.4901e-08,344.53,-1.5043,0.16608,-0.47053,0.78996,7.8809e-12,1.8442e-08,5.4824e-06,1.0588e-06,0.00024233,1.9292e-08,2.3631e-10,0.20966,0.00012996,0
-0.050626,0.0030879,1.4901e-08,344.52,-1.5967,-0.0095414,-0.59965,0.78996,7.1981e-12,1.8186e-08,5.6219e-06,9.7396e-07,0.0002406,2.0001e-08,2.4436e-10,0.20966,0.0001343,0
-0.049621,0.0030879,1.4901e-08,344.51,-1.5983,-0.082049,-0.65239,0.78996,7.3466e-12,1.7719e-08,5.823e-06,1.0071e-06,0.00023742,2.1032e-08,2.593e-10,0.20966,0.00014235,0
-0.048616,0.0030879,1.4901e-08,344.5,-1.7559,-0.069084,-0.34008,0.78995,1.0453e-11,1.7376e-08,5.8885e-06,1.4468e-06,0.00023503,2.1187e-08,2.7009e-10,0.20966,0.00014818,0
-0.047611,0.0030879,1.4901e-08,344.49,-1.77,0.037357,-0.27883,0.78995,1.7811e-11,1.7354e-08,5.7007e-06,2.4659e-06,0.00023484,1.9841e-08,2.6983e-10,0.20965,0.00014808,0
-0.046607,0.0030879,1.4901e-08,344.49,-1.7435,0.15711,-0.5589,0.78996,3.196e-11,1.7721e-08,5.1441e-06,4.3769e-06,0.0002373,1.6845e-08,2.5641e-10,0.20965,0.00014095,0
