"N2_PPM","N2O3_PPM","N2O4_PPM","N2O5_PPM","NO2_PPM","NO3_PPM","NO_PPM","O2_PPM","O3_PPM","O_PPM","Phi","T","U:0","U:1","U:2","vtkGhostType","Points:0","Points:1","Points:2"
789929,1.08116e-05,0.0148361,5.34565,216.545,0.0246815,1.61727,209640,207.281,0.000380163,2.10513,344.401,-0.980357,-0.651864,-0.660769,0,-0.0204483,-0.0134886,-1.54923e-19
789929,1.08646e-05,0.0147996,5.26627,216.26,0.024618,1.62713,209639,208.696,0.000382789,2.08834,344.398,-0.990843,-0.599489,-0.519581,0,-0.0199481,-0.0134886,-1.54923e-19
789927,1.00168e-05,0.0145556,5.30088,214.422,0.025281,1.51264,209638,214.193,0.000393141,2.01651,344.39,-1.06948,-0.485921,-0.581077,0,-0.0194479,-0.0134886,-1.54923e-19
789924,9.1722e-06,0.0143084,5.35778,212.548,0.0259994,1.39713,209637,219.639,0.000403422,1.94824,344.382,-1.09848,-0.531938,-0.514243,0,-0.0189476,-0.0134886,-1.54923e-19
789922,8.41258e-06,0.0140756,5.42407,210.768,0.0267063,1.29206,209636,224.711,0.000413016,1.88753,344.375,-1.08866,-0.676138,-0.379184,0,-0.0184474,-0.0134886,-1.54923e-19
789920,7.65201e-06,0.0138391,5.5,208.947,0.0274569,1.18524,209635,229.843,0.00042274,1.82852,344.368,-1.05108,-0.785317,-0.306351,0,-0.0179471,-0.0134886,-1.54923e-19
789918,7.00138e-06,0.0136366,5.57387,207.377,0.0281317,1.09241,209634,234.207,0.000431025,1.78029,344.362,-0.967674,-0.840951,-0.222433,0,-0.0174469,-0.0134886,-1.54923e-19
789917,6.47179e-06,0.0134766,5.63926,206.127,0.0286944,1.01562,209633,237.639,0.000437554,1.74354,344.357,-0.828362,-0.837407,-0.161306,0,-0.0169467,-0.0134886,-1.54923e-19
789916,6.10556e-06,0.0133748,5.69294,205.332,0.0290845,0.961831,209632,239.744,0.000441565,1.72103,344.355,-0.705366,-0.796932,-0.109208,0,-0.0164464,-0.0134886,-1.54923e-19
789915,5.82386e-06,0.0132976,5.73632,204.727,0.0293907,0.920044,209632,241.331,0.000444594,1.70446,344.353,-0.629279,-0.749666,-0.0936203,0,-0.0159462,-0.0134886,-1.54923e-19
789915,5.60615e-06,0.0132398,5.77845,204.274,0.0296387,0.887595,209632,242.45,0.000446735,1.69257,344.351,-0.595568,-0.715155,-0.0699568,0,-0.015446,-0.0134886,-1.54923e-19
789914,5.44685e-06,0.0132062,5.82802,204.013,0.0298336,0.863543,209632,242.92,0.00044765,1.68686,344.351,-0.585343,-0.692128,-0.020014,0,-0.0149457,-0.0134886,-1.54923e-19
789915,5.34362e-06,0.0132024,5.90316,203.99,0.0299947,0.847225,209632,242.479,0.00044685,1.68973,344.352,-0.569572,-0.681689,0.0645571,0,-0.0144455,-0.0134886,-1.54923e-19
789915,5.21282e-06,0.0131916,6.01878,203.917,0.0302428,0.826942,209632,241.901,0.000445807,1.69284,344.354,-0.523615,-0.685141,0.208318,0,-0.0139453,-0.0134886,-1.54923e-19
789915,5.0982e-06,0.0131854,6.15442,203.879,0.0305125,0.80886,209633,241.067,0.00044429,1.69842,344.356,-0.45079,-0.65899,0.339844,0,-0.013445,-0.0134886,-1.54923e-19
789915,4.89079e-06,0.0131324,6.31439,203.476,0.0309479,0.777617,209633,241.181,0.000444578,1.69381,344.357,-0.358219,-0.605625,0.474119,0,-0.0129448,-0.0134886,-1.54923e-19
